"geo_id","geo_name","geo_level","metro_area"
"US53033020100","Census Tract 201, King County, Washington","Tract",NA
"US53033021903","Census Tract 219.03, King County, Washington","Tract",NA
"US53033023404","Census Tract 234.04, King County, Washington","Tract",NA
"US53033023601","Census Tract 236.01, King County, Washington","Tract",NA
"US53033024701","Census Tract 247.01, King County, Washington","Tract",NA
"US53033025101","Census Tract 251.01, King County, Washington","Tract",NA
"US53033027900","Census Tract 279, King County, Washington","Tract",NA
"US53033002500","Census Tract 25, King County, Washington","Tract",NA
"US53033011401","Census Tract 114.01, King County, Washington","Tract",NA
"US53033006100","Census Tract 61, King County, Washington","Tract",NA
"US53033010002","Census Tract 100.02, King County, Washington","Tract",NA
"US53033010500","Census Tract 105, King County, Washington","Tract",NA
"US53033022400","Census Tract 224, King County, Washington","Tract",NA
"US53033025702","Census Tract 257.02, King County, Washington","Tract",NA
"US53033028100","Census Tract 281, King County, Washington","Tract",NA
"US53033029304","Census Tract 293.04, King County, Washington","Tract",NA
"US53033032212","Census Tract 322.12, King County, Washington","Tract",NA
"US53033023201","Census Tract 232.01, King County, Washington","Tract",NA
"US53033032313","Census Tract 323.13, King County, Washington","Tract",NA
"US53033009701","Census Tract 97.01, King County, Washington","Tract",NA
"US53033022802","Census Tract 228.02, King County, Washington","Tract",NA
"US53033025301","Census Tract 253.01, King County, Washington","Tract",NA
"US53033029205","Census Tract 292.05, King County, Washington","Tract",NA
"US53033030305","Census Tract 303.05, King County, Washington","Tract",NA
"US53033031704","Census Tract 317.04, King County, Washington","Tract",NA
"US53033022203","Census Tract 222.03, King County, Washington","Tract",NA
"US53033022606","Census Tract 226.06, King County, Washington","Tract",NA
"US53033029700","Census Tract 297, King County, Washington","Tract",NA
"US53033032215","Census Tract 322.15, King County, Washington","Tract",NA
"US53033020800","Census Tract 208, King County, Washington","Tract",NA
"US53033021905","Census Tract 219.05, King County, Washington","Tract",NA
"US53033032005","Census Tract 320.05, King County, Washington","Tract",NA
"US53033032208","Census Tract 322.08, King County, Washington","Tract",NA
"US53033032402","Census Tract 324.02, King County, Washington","Tract",NA
"US53033011402","Census Tract 114.02, King County, Washington","Tract",NA
"US53033001500","Census Tract 15, King County, Washington","Tract",NA
"US53033007000","Census Tract 70, King County, Washington","Tract",NA
"US53033010702","Census Tract 107.02, King County, Washington","Tract",NA
"US53033026600","Census Tract 266, King County, Washington","Tract",NA
"US53033027400","Census Tract 274, King County, Washington","Tract",NA
"US53033010200","Census Tract 102, King County, Washington","Tract",NA
"US53033011900","Census Tract 119, King County, Washington","Tract",NA
"US53033028801","Census Tract 288.01, King County, Washington","Tract",NA
"US53033032213","Census Tract 322.13, King County, Washington","Tract",NA
"US53033029001","Census Tract 290.01, King County, Washington","Tract",NA
"US53033032214","Census Tract 322.14, King County, Washington","Tract",NA
"US53033020500","Census Tract 205, King County, Washington","Tract",NA
"US53033022006","Census Tract 220.06, King County, Washington","Tract",NA
"US53033029802","Census Tract 298.02, King County, Washington","Tract",NA
"US53033032704","Census Tract 327.04, King County, Washington","Tract",NA
"US53033029601","Census Tract 296.01, King County, Washington","Tract",NA
"US53033029902","Census Tract 299.02, King County, Washington","Tract",NA
"US53033031502","Census Tract 315.02, King County, Washington","Tract",NA
"US53033031604","Census Tract 316.04, King County, Washington","Tract",NA
"US53033005900","Census Tract 59, King County, Washington","Tract",NA
"US53033024601","Census Tract 246.01, King County, Washington","Tract",NA
"US53033025803","Census Tract 258.03, King County, Washington","Tract",NA
"US53033026500","Census Tract 265, King County, Washington","Tract",NA
"US53033003000","Census Tract 30, King County, Washington","Tract",NA
"US53033004302","Census Tract 43.02, King County, Washington","Tract",NA
"US53033010401","Census Tract 104.01, King County, Washington","Tract",NA
"US53033032601","Census Tract 326.01, King County, Washington","Tract",NA
"US53033004500","Census Tract 45, King County, Washington","Tract",NA
"US53033007100","Census Tract 71, King County, Washington","Tract",NA
"US53033023500","Census Tract 235, King County, Washington","Tract",NA
"US53033024400","Census Tract 244, King County, Washington","Tract",NA
"US53033030304","Census Tract 303.04, King County, Washington","Tract",NA
"US53033027000","Census Tract 270, King County, Washington","Tract",NA
"US53033030314","Census Tract 303.14, King County, Washington","Tract",NA
"US53033030403","Census Tract 304.03, King County, Washington","Tract",NA
"US53033001000","Census Tract 10, King County, Washington","Tract",NA
"US53033008300","Census Tract 83, King County, Washington","Tract",NA
"US53033030504","Census Tract 305.04, King County, Washington","Tract",NA
"US53033005301","Census Tract 53.01, King County, Washington","Tract",NA
"US53033009100","Census Tract 91, King County, Washington","Tract",NA
"US53033011102","Census Tract 111.02, King County, Washington","Tract",NA
"US53033031800","Census Tract 318, King County, Washington","Tract",NA
"US53033032327","Census Tract 323.27, King County, Washington","Tract",NA
"US53033009900","Census Tract 99, King County, Washington","Tract",NA
"US53033027701","Census Tract 277.01, King County, Washington","Tract",NA
"US53033005600","Census Tract 56, King County, Washington","Tract",NA
"US53033025806","Census Tract 258.06, King County, Washington","Tract",NA
"US53033006300","Census Tract 63, King County, Washington","Tract",NA
"US53033009300","Census Tract 93, King County, Washington","Tract",NA
"US53033022001","Census Tract 220.01, King County, Washington","Tract",NA
"US53033023000","Census Tract 230, King County, Washington","Tract",NA
"US53033025006","Census Tract 250.06, King County, Washington","Tract",NA
"US53033031907","Census Tract 319.07, King County, Washington","Tract",NA
"US53033024300","Census Tract 243, King County, Washington","Tract",NA
"US53033008200","Census Tract 82, King County, Washington","Tract",NA
"US53033020600","Census Tract 206, King County, Washington","Tract",NA
"US53033029206","Census Tract 292.06, King County, Washington","Tract",NA
"US53033031903","Census Tract 319.03, King County, Washington","Tract",NA
"US53033021300","Census Tract 213, King County, Washington","Tract",NA
"US53033025003","Census Tract 250.03, King County, Washington","Tract",NA
"US53033030700","Census Tract 307, King County, Washington","Tract",NA
"US53033000100","Census Tract 1, King County, Washington","Tract",NA
"US53033005302","Census Tract 53.02, King County, Washington","Tract",NA
"US53033008001","Census Tract 80.01, King County, Washington","Tract",NA
"US53033027500","Census Tract 275, King County, Washington","Tract",NA
