"geo_id","dataset_id","year","variable","value","NCESSCH","SCHNAM","domain","subdomain","indicator","geo_name","geo_level","metro_area"
"US24",1,"2016","County-level real gdp","359987515",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24",1,"2017","County-level real gdp","365856985.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24",1,"2018","County-level real gdp","368810351.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24",1,"2019","County-level real gdp","374039254.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24",1,"2017","Gdp percent change from preceding period","1.6",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24",1,"2018","Gdp percent change from preceding period","0.8",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24",1,"2019","Gdp percent change from preceding period","1.4",NA,NA,"Resources","Housing, Banking","Strength of local economy","Maryland","State",NA
"US24005",1,"2016","County-level real gdp","48491337",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24005",1,"2017","County-level real gdp","49452184.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24005",1,"2018","County-level real gdp","51181075.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24005",1,"2019","County-level real gdp","51824165.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24005",1,"2017","Gdp percent change from preceding period","2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24005",1,"2018","Gdp percent change from preceding period","3.5",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24005",1,"2019","Gdp percent change from preceding period","1.3",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore County, Maryland","County",NA
"US24031",1,"2016","County-level real gdp","83999563",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24031",1,"2017","County-level real gdp","85680903.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24031",1,"2018","County-level real gdp","84595142.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24031",1,"2019","County-level real gdp","84895717.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24031",1,"2017","Gdp percent change from preceding period","2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24031",1,"2018","Gdp percent change from preceding period","-1.3",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24031",1,"2019","Gdp percent change from preceding period","0.4",NA,NA,"Resources","Housing, Banking","Strength of local economy","Montgomery County, Maryland","County",NA
"US24033",1,"2016","County-level real gdp","40248921",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24033",1,"2017","County-level real gdp","40889937.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24033",1,"2018","County-level real gdp","41656275.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24033",1,"2019","County-level real gdp","42073965.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24033",1,"2017","Gdp percent change from preceding period","1.6",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24033",1,"2018","Gdp percent change from preceding period","1.9",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24033",1,"2019","Gdp percent change from preceding period","1.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Prince George's County, Maryland","County",NA
"US24510",1,"2016","County-level real gdp","44590603",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US24510",1,"2017","County-level real gdp","45120281.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US24510",1,"2018","County-level real gdp","45484671.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US24510",1,"2019","County-level real gdp","46420459.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US24510",1,"2017","Gdp percent change from preceding period","1.2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US24510",1,"2018","Gdp percent change from preceding period","0.8",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US24510",1,"2019","Gdp percent change from preceding period","2.1",NA,NA,"Resources","Housing, Banking","Strength of local economy","Baltimore city, Maryland","County",NA
"US53",1,"2016","County-level real gdp","463973985",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53",1,"2017","County-level real gdp","489435001.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53",1,"2018","County-level real gdp","524486866.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53",1,"2019","County-level real gdp","548686658.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53",1,"2017","Gdp percent change from preceding period","5.5",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53",1,"2018","Gdp percent change from preceding period","7.2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53",1,"2019","Gdp percent change from preceding period","4.6",NA,NA,"Resources","Housing, Banking","Strength of local economy","Washington","State",NA
"US53033",1,"2016","County-level real gdp","240149410",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53033",1,"2017","County-level real gdp","256067584.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53033",1,"2018","County-level real gdp","278127160.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53033",1,"2019","County-level real gdp","294329768.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53033",1,"2017","Gdp percent change from preceding period","6.6",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53033",1,"2018","Gdp percent change from preceding period","8.6",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53033",1,"2019","Gdp percent change from preceding period","5.8",NA,NA,"Resources","Housing, Banking","Strength of local economy","King County, Washington","County",NA
"US53053",1,"2016","County-level real gdp","36587945",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
"US53053",1,"2017","County-level real gdp","38238904.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
"US53053",1,"2018","County-level real gdp","40229852.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
