"geo_id","estimate","year"
"US53033000100",77.9,"2010-2015"
"US53033000200",82.6,"2010-2015"
"US53033000300",78.4,"2010-2015"
"US53033000401",77.8,"2010-2015"
"US53033000500",82.1,"2010-2015"
"US53033000600",80,"2010-2015"
"US53033000700",82.1,"2010-2015"
"US53033000800",80.2,"2010-2015"
"US53033000900",82.8,"2010-2015"
"US53033001000",79.6,"2010-2015"
"US53033001100",80.7,"2010-2015"
"US53033001200",85.1,"2010-2015"
"US53033001300",78.6,"2010-2015"
"US53033001400",77.6,"2010-2015"
"US53033001500",83.6,"2010-2015"
"US53033001600",83.2,"2010-2015"
"US53033001701",78.9,"2010-2015"
"US53033001702",76.6,"2010-2015"
"US53033001800",79.4,"2010-2015"
"US53033001900",85.6,"2010-2015"
"US53033002000",82.6,"2010-2015"
"US53033002100",83.5,"2010-2015"
"US53033002200",82.6,"2010-2015"
"US53033002400",83.7,"2010-2015"
"US53033002500",83.1,"2010-2015"
"US53033002600",87.6,"2010-2015"
"US53033002700",85.1,"2010-2015"
"US53033002800",82.6,"2010-2015"
"US53033002900",82.4,"2010-2015"
"US53033003000",81.4,"2010-2015"
"US53033003100",82.6,"2010-2015"
"US53033003200",84.3,"2010-2015"
"US53033003300",80.2,"2010-2015"
"US53033003400",82.4,"2010-2015"
"US53033003500",83.1,"2010-2015"
"US53033003800",86.9,"2010-2015"
"US53033003900",83.3,"2010-2015"
"US53033004000",84.6,"2010-2015"
"US53033004100",84.6,"2010-2015"
"US53033004200",85.7,"2010-2015"
"US53033004301",84.8,"2010-2015"
"US53033004302",78.4,"2010-2015"
"US53033004500",81.2,"2010-2015"
"US53033004600",84,"2010-2015"
"US53033004700",80.4,"2010-2015"
"US53033004800",80,"2010-2015"
"US53033004900",75.2,"2010-2015"
"US53033005000",82.4,"2010-2015"
"US53033005100",83.1,"2010-2015"
"US53033005200",81.2,"2010-2015"
"US53033005400",84.8,"2010-2015"
"US53033005600",82.9,"2010-2015"
"US53033005700",82.4,"2010-2015"
"US53033005801",84.9,"2010-2015"
"US53033005802",83.9,"2010-2015"
"US53033005900",84.3,"2010-2015"
"US53033006000",78.7,"2010-2015"
"US53033006100",80.7,"2010-2015"
"US53033006200",82.9,"2010-2015"
"US53033006300",84.6,"2010-2015"
"US53033006400",86.9,"2010-2015"
"US53033006500",83.4,"2010-2015"
"US53033006600",81.2,"2010-2015"
"US53033006700",85.7,"2010-2015"
"US53033006800",76.9,"2010-2015"
"US53033006900",81.2,"2010-2015"
"US53033007000",82.4,"2010-2015"
"US53033007200",77.2,"2010-2015"
"US53033007300",81.4,"2010-2015"
"US53033007402",81.4,"2010-2015"
"US53033007500",78,"2010-2015"
"US53033007600",81,"2010-2015"
"US53033007700",73.2,"2010-2015"
"US53033007800",83.5,"2010-2015"
"US53033007900",79.7,"2010-2015"
"US53033008001",78,"2010-2015"
"US53033008002",80.5,"2010-2015"
"US53033008100",81,"2010-2015"
"US53033008200",77.4,"2010-2015"
"US53033008400",80,"2010-2015"
"US53033008500",86.4,"2010-2015"
"US53033008700",74.6,"2010-2015"
"US53033008800",80.4,"2010-2015"
"US53033008900",79.8,"2010-2015"
"US53033009000",78.1,"2010-2015"
"US53033009100",85.9,"2010-2015"
"US53033009200",76,"2010-2015"
"US53033009300",85.4,"2010-2015"
"US53033009400",88.1,"2010-2015"
"US53033009500",80.2,"2010-2015"
"US53033009600",80.4,"2010-2015"
"US53033009701",86,"2010-2015"
"US53033009702",81.4,"2010-2015"
"US53033009800",84.2,"2010-2015"
"US53033009900",80,"2010-2015"
"US53033010001",82.1,"2010-2015"
"US53033010002",79.8,"2010-2015"
"US53033010100",77.3,"2010-2015"
"US53033010200",83.4,"2010-2015"
"US53033010300",79,"2010-2015"
"US53033010401",82.1,"2010-2015"
"US53033010402",83.2,"2010-2015"
"US53033010500",79.2,"2010-2015"
"US53033010600",88.3,"2010-2015"
"US53033010701",77.5,"2010-2015"
"US53033010702",76.6,"2010-2015"
"US53033010800",79.7,"2010-2015"
"US53033010900",78.8,"2010-2015"
"US53033011001",76,"2010-2015"
"US53033011002",74.1,"2010-2015"
"US53033011101",76.9,"2010-2015"
"US53033011102",77.3,"2010-2015"
"US53033011200",73.3,"2010-2015"
"US53033011300",81.7,"2010-2015"
"US53033011401",76.6,"2010-2015"
"US53033011402",79.9,"2010-2015"
"US53033011500",79.2,"2010-2015"
