"geo_id","estimate","year"
"US53033020100",3361,"2010"
"US53033021903",5906,"2010"
"US53033023404",3276,"2010"
"US53033023601",3395,"2010"
"US53033024701",3283,"2010"
"US53033025101",5693,"2010"
"US53033027900",6148,"2010"
"US53033002500",2957,"2010"
"US53033011401",3919,"2010"
"US53033006100",4794,"2010"
"US53033010002",4238,"2010"
"US53033010500",6424,"2010"
"US53033022400",7222,"2010"
"US53033025702",3399,"2010"
"US53033028100",2215,"2010"
"US53033029304",4492,"2010"
"US53033032212",8481,"2010"
"US53033023201",5886,"2010"
"US53033032313",6204,"2010"
"US53033009701",5622,"2010"
"US53033022802",4800,"2010"
"US53033025301",3901,"2010"
"US53033029205",4588,"2010"
"US53033030305",4855,"2010"
"US53033031704",4862,"2010"
"US53033022203",4743,"2010"
"US53033022606",5093,"2010"
"US53033029700",7328,"2010"
"US53033032215",4177,"2010"
"US53033020800",4187,"2010"
"US53033021905",4879,"2010"
"US53033032005",6691,"2010"
"US53033032208",7353,"2010"
"US53033032402",5462,"2010"
"US53033011402",4193,"2010"
"US53033001500",2463,"2010"
"US53033007000",6993,"2010"
"US53033010702",2620,"2010"
"US53033026600",2371,"2010"
"US53033027400",4815,"2010"
"US53033010200",4825,"2010"
"US53033011900",7563,"2010"
"US53033028801",3705,"2010"
"US53033032213",4399,"2010"
"US53033029001",4757,"2010"
"US53033032214",6040,"2010"
"US53033020500",6016,"2010"
"US53033022006",3437,"2010"
"US53033029802",8427,"2010"
"US53033032704",5932,"2010"
"US53033029601",7071,"2010"
"US53033029902",4214,"2010"
"US53033031502",3644,"2010"
"US53033031604",4334,"2010"
"US53033005900",7188,"2010"
"US53033024601",4295,"2010"
"US53033025803",4824,"2010"
"US53033026500",2905,"2010"
"US53033003000",5578,"2010"
"US53033004302",3140,"2010"
"US53033010401",4516,"2010"
"US53033032601",2996,"2010"
"US53033004500",2782,"2010"
"US53033007100",2521,"2010"
"US53033023500",3470,"2010"
"US53033024400",3196,"2010"
"US53033030304",3345,"2010"
"US53033027000",2864,"2010"
"US53033030314",4224,"2010"
"US53033030403",4353,"2010"
"US53033001000",1702,"2010"
"US53033008300",2397,"2010"
"US53033030504",4408,"2010"
"US53033005301",7011,"2010"
"US53033009100",2319,"2010"
"US53033011102",4205,"2010"
"US53033031800",4350,"2010"
"US53033032327",3468,"2010"
"US53033009900",5091,"2010"
"US53033027701",5044,"2010"
"US53033005600",6430,"2010"
"US53033025806",4422,"2010"
"US53033006300",5190,"2010"
"US53033009300",2007,"2010"
"US53033022001",4500,"2010"
"US53033023000",5242,"2010"
"US53033025006",4915,"2010"
"US53033031907",7181,"2010"
"US53033024300",6420,"2010"
"US53033008200",2844,"2010"
"US53033020600",4036,"2010"
"US53033029206",4320,"2010"
"US53033031903",6164,"2010"
"US53033021300",3861,"2010"
"US53033025003",7000,"2010"
"US53033030700",3783,"2010"
"US53033000100",5784,"2010"
"US53033005302",5392,"2010"
"US53033008001",5003,"2010"
"US53033027500",4428,"2010"
"US53033000900",2025,"2010"
"US53033023603",6227,"2010"
"US53033029003",5811,"2010"
"US53033032103",4414,"2010"
"US53033001900",3622,"2010"
"US53033023804",3073,"2010"
"US53033030201",5524,"2010"
"US53033025602",5457,"2010"
"US53033005802",4411,"2010"
"US53033021700",7184,"2010"
"US53033025805",4473,"2010"
"US53033032007",3193,"2010"
"US53033006600",3070,"2010"
"US53033010300",6047,"2010"
"US53033020200",5736,"2010"
"US53033000700",4643,"2010"
"US53033022703",2368,"2010"
"US53033025102",6770,"2010"
"US53033007600",3608,"2010"
"US53033020900",3228,"2010"
"US53033021804",4018,"2010"
"US53033030901",3628,"2010"
"US53033007300",3463,"2010"
"US53033011600",6304,"2010"
"US53033030503",3428,"2010"
"US53033031605",3429,"2010"
"US53033031705",3577,"2010"
"US53033002000",3403,"2010"
"US53033010701",2622,"2010"
"US53033011800",7600,"2010"
"US53033012100",2565,"2010"
"US53033032703",1887,"2010"
"US53033009000",2327,"2010"
"US53033029204",6662,"2010"
"US53033029602",5289,"2010"
"US53033030004",7412,"2010"
"US53033031206",4601,"2010"
"US53033010001",3781,"2010"
"US53033022102",5479,"2010"
"US53033029306",2919,"2010"
"US53033030404",4119,"2010"
"US53033031400",5788,"2010"
"US53033032003",4704,"2010"
"US53033002400",2859,"2010"
"US53033009800",6127,"2010"
"US53033023403",3801,"2010"
"US53033023801",2665,"2010"
"US53033010800",4683,"2010"
"US53033022300",2857,"2010"
"US53033022604",4122,"2010"
"US53033028000",3848,"2010"
"US53033030306",5856,"2010"
"US53033006500",3798,"2010"
"US53033008002",2731,"2010"
"US53033029502",6094,"2010"
"US53033032309",4007,"2010"
"US53033021802",5156,"2010"
"US53033031100",6994,"2010"
"US53033007900",4997,"2010"
"US53033008100",4399,"2010"
"US53033028402",4579,"2010"
"US53033005700",6388,"2010"
"US53033026100",6015,"2010"
"US53033031703",5642,"2010"
"US53033000300",2548,"2010"
"US53033031909",3299,"2010"
"US53033009400",5458,"2010"
"US53033022701",2591,"2010"
"US53033024903",6713,"2010"
"US53033025400",6472,"2010"
"US53033030309",5390,"2010"
"US53033030313",3372,"2010"
"US53033023202",4370,"2010"
"US53033024602",3671,"2010"
"US53033029004",4438,"2010"
"US53033022803",5450,"2010"
"US53033026200",5462,"2010"
"US53033027300",6307,"2010"
"US53033032203",6172,"2010"
"US53033022605",5492,"2010"
"US53033030311",5134,"2010"
"US53033022500",7507,"2010"
"US53033025500",5052,"2010"
"US53033027100",3757,"2010"
"US53033002800",4008,"2010"
"US53033022702",3596,"2010"
"US53033028700",5269,"2010"
"US53033020300",5642,"2010"
"US53033031301",2336,"2010"
"US53033005100",3437,"2010"
"US53033006200",4195,"2010"
"US53033020700",3668,"2010"
"US53033028500",3616,"2010"
"US53033001800",4219,"2010"
"US53033022801",8992,"2010"
"US53033025005",4426,"2010"
"US53033008400",4035,"2010"
"US53033022003",5655,"2010"
"US53033028902",6061,"2010"
"US53033030600",5140,"2010"
"US53033003300",6080,"2010"
"US53033004800",4597,"2010"
"US53033027800",3336,"2010"
"US53033030501",1690,"2010"
"US53033000200",7682,"2010"
"US53033006800",2652,"2010"
"US53033027600",4308,"2010"
"US53033000401",5805,"2010"
"US53033001702",4782,"2010"
"US53033004301",3845,"2010"
"US53033032321",4503,"2010"
"US53033021906",3986,"2010"
"US53033030802",3914,"2010"
"US53033003400",3334,"2010"
"US53033003500",3906,"2010"
"US53033007500",5947,"2010"
"US53033024800",5975,"2010"
"US53033028403",4993,"2010"
"US53033029901",4589,"2010"
"US53033029503",7948,"2010"
"US53033005801",4946,"2010"
"US53033008700",4058,"2010"
"US53033009600",5714,"2010"
"US53033020401",3297,"2010"
"US53033022005",4670,"2010"
"US53033020402",5168,"2010"
"US53033024901",5324,"2010"
"US53033029307",3760,"2010"
"US53033008900",5312,"2010"
"US53033030003",6119,"2010"
"US53033032307",6069,"2010"
"US53033030005",5008,"2010"
"US53033001701",3615,"2010"
"US53033026802",4754,"2010"
"US53033032324",4973,"2010"
"US53033012000",3632,"2010"
"US53033002200",5321,"2010"
"US53033005200",6347,"2010"
"US53033008600",5371,"2010"
"US53033029102",3725,"2010"
"US53033000600",7235,"2010"
"US53033032328",3125,"2010"
"US53033024902",4011,"2010"
"US53033002600",4456,"2010"
"US53033004100",7992,"2010"
"US53033007200",3867,"2010"
"US53033011002",3774,"2010"
"US53033030801",6421,"2010"
"US53033031205",6200,"2010"
"US53033032326",3531,"2010"
"US53033021000",5564,"2010"
"US53033025001",4491,"2010"
"US53033032311",6014,"2010"
"US53033001400",4799,"2010"
"US53033011101",4162,"2010"
"US53033028200",4108,"2010"
"US53033022201",3933,"2010"
"US53033024100",4230,"2010"
"US53033030100",6743,"2010"
"US53033002700",4877,"2010"
"US53033990100",0,"2010"
"US53033001100",2573,"2010"
"US53033003200",7178,"2010"
"US53033011200",4102,"2010"
"US53033030308",6764,"2010"
"US53033002900",4117,"2010"
"US53033032500",4908,"2010"
"US53033021803",4436,"2010"
"US53033027702",4883,"2010"
"US53033029407",4679,"2010"
"US53033032318",5313,"2010"
"US53033006900",3965,"2010"
"US53033032322",3482,"2010"
"US53033026002",7564,"2010"
"US53033032316",5232,"2010"
"US53033004000",2903,"2010"
"US53033004600",3079,"2010"
"US53033032401",5660,"2010"
"US53033032319",4523,"2010"
"US53033032011",3697,"2010"
"US53033023604",5743,"2010"
"US53033030312",4701,"2010"
"US53033032104",6091,"2010"
"US53033006000",4750,"2010"
"US53033022101",4456,"2010"
"US53033030202",5774,"2010"
